coroner_area,count
Greater Manchester South,508
London Inner North,333
"West Sussex, Brighton and Hove",201
Birmingham and Solihull,196
Surrey,190
London East,184
South Wales Central,149
London Inner South,146
Nottinghamshire,140
Cornwall and the Isles of Scilly,137
Greater Manchester West,132
Greater Manchester North,132
Yorkshire West Eastern,124
Norfolk,123
Essex,116
North Wales (East & Central),111
County Durham and Darlington,110
"Hampshire, Portsmouth and Southampton",106
Avon,103
Yorkshire South West,102
Yorkshire West Western,100
Suffolk,94
The Black Country Jurisdiction,93
Cumbria,92
London Inner West,92
Worcestershire,84
Dorset,84
Bedfordshire and Luton,82
Milton Keynes,81
Kent and Medway,81
Berkshire,76
London North,76
Leicester City and South Leicestershire,76
Liverpool and the Wirral,73
London West,71
Cheshire,67
Derby and Derbyshire,67
Lancashire and Blackburn with Darwen,66
Manchester City,65
Yorkshire South East,64
Wiltshire and Swindon,60
Staffordshire and Stoke-on-Trent,59
East Riding of Yorkshire and Kingston-upon-Hull,58
Blackpool and Fylde,57
London South,53
Gwent,53
Northamptonshire,52
Sunderland,51
Cambridgeshire and Peterborough,50
Warwickshire,48
Gloucestershire,43
Oxfordshire,39
Newcastle and North Tyneside,39
North Yorkshire and York,36
East Sussex,33
Somerset,32
Hertfordshire,32
"Shropshire, Telford and Wrekin",31
Swansea and Neath Port Talbot,30
Northumberland,27
Buckinghamshire,25
Carmarthenshire and Pembrokeshire,24
North West Wales,23
Coventry,23
Herefordshire,19
Isle of Wight,19
London City,18
Rutland and North Leicestershire,17
Teesside and Hartlepool,16
Gateshead and South Tyneside,14
"Sefton, Knowsley and St Helens",8
Greater Lincolnshire,5
Exeter and Greater Devon,4
Ceredigion,2
