year,Avon,Bedfordshire and Luton,Berkshire,Birmingham and Solihull,Blackpool and Fylde,Buckinghamshire,Cambridgeshire and Peterborough,Carmarthenshire and Pembrokeshire,Ceredigion,Cheshire,Cornwall and the Isles of Scilly,County Durham and Darlington,Coventry,Cumbria,Derby and Derbyshire,Dorset,East Riding of Yorkshire and Kingston-upon-Hull,East Sussex,Essex,Exeter and Greater Devon,Gateshead and South Tyneside,Gloucestershire,Greater Lincolnshire,Greater Manchester North,Greater Manchester South,Greater Manchester West,Gwent,"Hampshire, Portsmouth and Southampton",Herefordshire,Hertfordshire,Isle of Wight,Kent and Medway,Lancashire and Blackburn with Darwen,Leicester City and South Leicestershire,Liverpool and the Wirral,London City,London East,London Inner North,London Inner South,London Inner West,London North,London South,London West,Manchester City,Milton Keynes,Newcastle and North Tyneside,Norfolk,North Wales (East & Central),North West Wales,North Yorkshire and York,Northamptonshire,Northumberland,Nottinghamshire,Oxfordshire,Rutland and North Leicestershire,"Sefton, Knowsley and St Helens","Shropshire, Telford and Wrekin",Somerset,South Wales Central,Staffordshire and Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swansea and Neath Port Talbot,Teesside and Hartlepool,The Black Country Jurisdiction,Warwickshire,"West Sussex, Brighton and Hove",Wiltshire and Swindon,Worcestershire,Yorkshire South East,Yorkshire South West,Yorkshire West Eastern,Yorkshire West Western
2013,4,0,0,1,2,0,2,1,0,1,1,2,0,5,2,2,0,0,0,0,1,2,0,1,3,5,0,0,0,1,0,0,1,4,4,2,2,7,5,0,3,2,0,2,2,0,1,4,0,1,0,0,2,2,1,0,1,3,4,0,0,1,4,0,0,1,1,3,2,3,2,3,3,1
2014,9,10,5,8,5,4,3,4,0,2,3,11,5,11,1,1,1,1,10,2,3,0,0,17,42,12,4,13,0,4,4,2,5,10,6,0,4,30,23,10,14,5,5,6,8,1,17,13,2,3,2,6,7,6,2,0,3,3,11,2,5,8,22,2,0,12,3,19,9,3,5,6,12,5
2015,12,5,4,16,4,1,2,3,0,0,3,14,1,7,3,1,1,0,6,1,1,2,0,12,35,23,2,4,0,2,2,6,6,16,3,2,9,26,12,2,14,4,3,2,3,3,14,9,3,0,3,1,13,4,1,0,2,1,19,8,2,4,8,2,0,6,2,15,8,10,11,4,10,6
2016,6,6,3,12,1,1,2,5,0,2,13,8,1,5,2,0,0,1,6,0,0,3,0,5,26,16,0,10,0,3,1,6,9,10,3,1,7,19,11,5,4,6,3,9,4,2,6,4,1,2,1,2,10,0,2,0,3,0,11,2,2,2,14,2,0,7,5,10,4,3,6,4,7,9
2017,5,7,3,7,2,2,1,0,0,1,5,1,3,1,1,0,1,1,3,1,0,7,0,8,14,11,0,5,0,2,0,1,5,3,6,2,4,15,6,4,5,2,5,6,5,2,2,7,1,2,2,1,6,0,0,0,0,2,16,0,1,1,10,1,0,12,1,7,8,1,6,4,3,1
2018,8,2,1,12,1,1,1,1,0,0,4,1,1,1,2,5,2,1,4,0,0,4,0,8,26,11,2,5,0,2,2,2,4,3,2,0,6,18,9,7,0,1,2,1,4,2,2,1,0,0,2,0,8,3,0,0,1,2,4,4,2,6,1,0,0,9,1,6,1,3,2,6,4,3
2019,5,9,8,25,4,4,2,4,0,10,7,4,0,3,2,7,2,5,1,0,2,11,0,19,49,5,0,7,1,4,4,3,2,3,4,1,5,25,10,8,3,4,8,10,9,4,12,7,1,1,1,1,6,3,0,0,2,0,13,6,12,4,9,3,1,6,3,16,6,2,4,11,10,9
2020,5,5,1,7,6,0,0,0,0,0,9,8,1,4,9,2,0,0,12,0,0,0,0,3,35,7,3,2,1,3,2,2,4,2,3,0,15,11,4,5,4,3,2,2,6,1,8,3,0,0,3,0,5,1,1,0,3,0,5,2,6,1,9,3,0,5,3,11,2,2,1,2,6,6
2021,3,3,4,10,6,2,10,0,1,0,9,6,1,4,4,10,1,2,3,0,0,0,0,12,49,3,10,7,0,2,1,15,5,3,5,2,26,25,12,3,0,5,5,6,8,4,7,5,2,2,2,0,12,5,0,1,2,0,5,13,7,5,14,3,0,9,5,23,0,6,4,7,20,10
2022,7,8,6,12,3,2,4,1,0,2,9,5,0,5,4,10,3,2,4,0,0,1,0,6,43,3,6,8,2,3,0,8,4,2,4,0,26,16,8,4,2,2,6,6,3,4,14,5,2,5,2,4,10,0,1,2,1,2,12,1,5,4,21,1,2,4,2,7,1,3,0,13,6,7
2023,10,4,10,18,7,2,8,0,0,7,17,9,0,8,11,11,9,5,14,0,1,1,0,9,43,3,8,7,6,3,0,3,3,7,8,3,24,31,10,10,5,2,7,3,11,8,9,19,6,5,5,2,13,1,0,3,1,7,4,6,8,2,18,4,1,1,6,13,3,9,0,10,11,6
2024,10,5,16,22,5,1,9,1,0,17,21,17,0,11,16,11,13,9,14,0,2,2,0,14,60,5,5,12,6,0,0,7,5,5,8,0,25,41,9,10,6,3,6,3,5,3,14,12,4,5,5,3,17,4,4,0,2,3,10,9,18,2,30,4,6,5,7,24,4,16,5,14,11,8
2025,7,3,9,23,3,2,4,1,1,10,21,9,2,9,4,14,12,1,23,0,3,5,2,7,40,16,9,11,3,1,0,7,10,1,9,2,16,42,6,9,7,10,10,1,8,4,7,9,1,6,11,4,18,6,5,0,4,6,15,3,13,6,15,3,4,3,3,24,3,9,12,8,10,15
2026,1,7,2,6,4,1,1,1,0,7,2,7,3,10,3,2,10,4,11,0,1,2,3,1,12,3,3,4,0,0,0,13,2,1,1,1,7,10,4,4,4,1,5,0,1,0,2,3,0,1,8,2,6,4,0,2,3,1,8,1,12,3,3,0,2,6,4,7,4,9,2,3,2,2
