year,Accident at Work and Health and Safety related deaths,"Alcohol, drug and medication related deaths",Care Home Health related deaths,Child Death (from 2015),Community health care and emergency services related deaths,Emergency services related deaths (2019 onwards),Hospital Death (Clinical Procedures and medical management) related deaths,Mental Health related deaths,Other related deaths,Police related deaths,Product related deaths,Railway related deaths,Road (Highways Safety) related deaths,Service Personnel related deaths,State Custody related deaths,Suicide (from 2015),Wales prevention of future deaths reports (2019 onwards)
2013,2,3,9,0,27,0,41,9,11,2,2,2,14,0,6,0,0
2014,5,18,31,0,70,0,244,20,68,9,16,5,57,6,35,0,0
2015,7,10,25,34,46,0,223,11,53,7,9,5,38,7,30,14,0
2016,8,5,20,30,45,0,188,20,38,11,6,6,37,0,24,34,0
2017,3,2,13,14,42,0,151,10,25,5,11,6,20,1,11,14,0
2018,6,8,14,9,40,0,121,19,31,2,2,6,16,0,14,8,0
2019,8,52,30,38,39,35,194,50,39,12,3,13,47,4,35,53,20
2020,6,44,24,23,53,23,91,65,58,7,4,5,24,2,15,49,12
2021,5,68,45,42,97,22,218,126,117,39,30,12,30,5,30,101,20
2022,4,68,38,37,34,32,133,87,83,12,7,12,28,0,18,96,23
2023,8,61,32,59,0,37,178,31,95,0,6,9,37,1,26,111,19
2024,8,80,34,57,20,49,238,66,72,6,14,8,47,3,34,159,35
2025,9,93,44,60,40,41,211,74,30,29,15,6,59,1,32,136,40
2026,0,22,3,18,15,11,65,20,26,1,0,3,9,0,18,38,7
