coroner_name,count
Ms Alison Patricia Mutch OBE,235
Ms Mary Hassell,179
Ms Nadia Persaud,92
Mr Professor John S Pollard,88
Mr Andrew Cox,87
Mr Tom Osborne,86
Mrs Louise Hunt,80
Mrs Jacqueline F Lake,79
Mr Chris Morris,76
Mr graeme Irvine,75
Dr Andrew Harris,72
Mr John Gittins,72
Mrs lydia brown,62
Miss Veronica HAMILTON-DEELEY,62
Mr Zafar Siddique,60
Mr Kevin McLoughlin,59
Mr Andrew Walker,59
Ms Joanne Kearsley,59
Dr Fiona Jane Wilcox,55
Mr Martin Dominic Fleming,52
Mrs Heidi Julia Connor,52
Ms Sonia Marie Hayes,50
Mr Andrew Adrian Haigh,49
Ms Caroline Saunders,49
Miss Emma Brown,47
Ms Penelope Schofield,47
Mrs Rachael Clare Griffin,47
Mr David Donald William Reid,46
Mrs Maria Eileen Voisin,45
Dr Richard Ian Brittain,43
Ms Lisa Jeanette Hashmi,42
Mr Alan Wilson,42
Mr Andrew Roger Barkley,41
Miss Anna Crawford,40
Mrs Caroline Beasley-Murray OBE,39
Mr Nigel Parsley,38
Mr André Rebello OBE,38
Mr Guy Davies,38
Mr Derek Winter OBE DL,38
Dr Karen Henderson,37
Ms Nicola Jane Mundy,35
Mr Alan Peter Walsh,35
Mr David William Graham RIDLEY,35
Mr Ian Potter,34
Dr Séan Cummings,33
Mr Nicholas Leslie Rheinberg,32
Miss Emma Serrano,32
Dr Elizabeth Didcock,32
Mr Andrew Tweddle,31
Ms Patricia Harding,30
Mrs Emma Elizabeth Whitting,29
Mr Nigel Meadows,29
Miss Caroline Topping,29
Ms Jacqueline P Devonish,29
Margaret Jones,28
Mr Crispin Oliver,27
Mr Ian Arrow,27
Mr Richard Travers,26
Mr Robert Simpson,26
Mr S. McGovern,26
Mr Geraint Williams,26
Ms Katy Skerrett,26
Mr Timothy William Brennand,26
Mr Oliver Robert Longstaff,24
Mr Philip Barlow,24
Ms Catherine McKenna,24
Mr Andrew Michael Bridgman,24
Mr Darren Stewart OBE,24
Ms Sarah Bourke,23
Mr James Bennett,23
Mr Brendan Joseph Allen,23
David Hinchcliff,23
Miss Laurinda Bower,23
Mr David Clark Horsley,23
Mr Ian Geoffrey Pears,23
Mr Paul Stanford Cooper,23
Mr John Penhale Ellery,23
Miss Rachel Elisabeth Knight,22
Mrs Joanne Lees,22
Mrs Karen Dilks,22
Ms Abigail Combes,22
Mr Paul Vernon Marks,22
Mrs Joanne Andrews,21
Ms Kate Robertson,21
Mr Graeme David Hughes,21
Mr DAVID LLEWELYN ROBERTS,21
Mr Darren Michael Salter,21
Mrs Caroline Sarah Sumeray,20
Jennifer Leaming,20
Ms Catherine Wood,19
Dr Peter Harrowing,19
Mr Sean Kevan Horstead,19
Mr Hassan Shah,19
Mr Peter Nieto,19
Mrs Helen Rachel Redman,19
Mrs Samantha Marsh,18
Mr J Mark Layton,18
Ms Selena R Lynch,18
Mr Adam Hodson,18
Ms Yvonne Kathleen Blake,17
Mrs Catherine Mason,17
Miss Lorraine Harris,17
Mr Crispin Giles Butler,17
Dr Nicholas Alastair Shaw,17
Mrs Tanyka Samantha Rawden,17
Mrs Anna Loxton,16
Dr Elizabeth A Earland,16
Mr Peter J Bedford,16
Dr E. Emma Carlyon,16
Mr Geoffrey Sullivan,16
Mr Adrian John Farrow,15
Mr SIMON NELSON,15
Mr Robert Cohen,15
Dr Simon Fox QC,15
Mr James Edward Thompson,15
Mr Christopher Dorries,15
Mr Jason Pegg,15
Mr Jeremy Chipperfield,15
Christopher Murray,15
Mr David Regan,14
Mr Michael Singleton,14
Mr Aled Wyn Gruffydd,14
Dr James Adeley,14
Mrs Anne Pember,14
Miss Clare Bailey,14
Mrs Anita Bhardwaj,14
Ms Melanie Lee,14
Ms Mary T Burke,14
David Urpeath,14
Mr Edwin Buckett,14
Mr Philip Spinney,14
Mr Gordon Clow,13
Mr Robert Chapman,13
Stephanie Haskey,13
Dr Alexander Robert Walker Forrest,13
Mr Andrew Philip Hetherington,13
Mr Grahame Antony Short,13
Mr HG Mark Bricknell,13
Mrs Samantha Goward,13
Mr Richard Thomas Middleton,13
Mr Peter Judge,12
Ms Alison Brydie Hewitt,12
Ms Anna Morris,12
Mrs Dianne Hocking,12
Mr David Lewis,12
Mrs SARAH LOUISE SLATER,11
Mr Simon Wickens,11
Katie Sutherland,11
Miss Janine Richards,11
Mr Paul Duncan Smith,11
Mr Simon Milburn,11
Melanie Williamson,11
Mrs Charlotte Keighley,11
Miss Sarah Ormond-Walshe,10
Miss Sarah Murphy,10
Mr Ian Smith,10
Mrs Jean Harkin,10
Mr Jonathan D P Stevens,10
Mr Zak Golombeck,10
Dr Roy N Palmer,10
Mr Tony Brown,10
Chinyere Inyama,10
Dr Peter Dean,10
Mr Rob Sowersby,10
Dr Shirley Radcliffe,10
Miss Rachel Raheela Syed,10
Ms Susan Ridge,9
Dr Julian Rupert Laurence Morris,9
Mr Kimberley Ian Singleton,9
Mr David Place,9
Dr David J Osborne,9
John Tomalin,9
Christopher Woolley,9
Miss Bina Patel,9
Mr Ian Brownhill,9
Ms Catherine Cundy,9
Elizabeth Carlyon,9
Mr christopher paul williams,9
Mr Stuart P G Fisher,9
Ms Deborah Archer,9
Mr Edward G Thomas,8
Mr Stephen Simblet KC,8
Mrs kirsten heaven,8
Mr James Healy-Pratt,8
R J Balmain,8
Mr John Hobson,8
Miss Alison McCormick,8
Mrs LINDA KAREN HADFIELD LEE,8
Mr Tim Holloway,8
Mr Michael James Pemberton,8
Mr Nicholas Graham,8
Ms Nicola Jones,8
Donald Coutts-Wood,8
Ms Vanessa McKinlay,8
Miss Wendy James,8
Ms Henrietta Hill QC,8
Mr Christopher John Long,8
Miss Kate Thomas,8
Terence Moore,8
Mrs Lauren Costello,8
Mr Colin Phillips,8
Mrs Victoria Davies,8
Mr Roger Linton Hatch,7
Miss CARLY ELIZABETH HENLEY,7
Mr Tony Williams,7
Mr Joseph Turner,7
Mr Jonathan Richard Heath,7
Mr Stephen John Nicholls,7
Mr Henry Frederick Charles,7
Mrs Angela Carol Brocklehurst,7
Miss Fiona Butler,7
Mr Russell Ashley Caller,7
Lorna Tagliavini,7
R .David Crawford Clarke,7
Julie Robertson,7
Dr Bridget Dolan KC,7
Ms Alexandra Pountney,7
Mrs Rebecca Sutton,7
Miss Kirsty Gomersal,7
Miss Isobel Thistlethwaite,7
Mr Terence Carney,7
Mr Stephen Covell,7
Mr Christopher Campbell Wilkinson,7
Mr Peter Taheri,7
Ms Sophie Lomas,7
Mrs Marilyn Whittle,7
Mr John C Taylor,6
Dr Robert Hunter,6
Mr Stephen George Eccleston,6
Mrs Deborah Suzanne Rookes,6
Mrs Priya Malhotra,6
Mr Nicholas Walker,6
Mr Mark Andrew Beresford,6
Mr Matthew A Cox,6
Mr Scott Matthewson,6
Dr Anton van Dellen,6
Mr David Pojur,6
Mr Delroy Henry,6
Ms Johanna Thompson,6
Miss Sabyta Kaushal,6
Mr Heath Westerman,6
Mr Alan R Craze,6
Michael R Rose,6
Mr Ian Wade KC,6
Mr Paul John Rogers,5
Ms Joy Michelle Brown OBE,5
Mr Gareth jones,5
Miss Georgina Nolan,5
Miss Sarah Anna Middleton,5
