coroner_name,count,Unknown,Senior Coroner,Area Coroner,Assistant Coroner,Former Coroner
Ms Alison Patricia Mutch OBE,232,232,0,0,0,0
Ms Mary Hassell,182,0,182,0,0,0
Ms Nadia Persaud,91,0,0,91,0,0
Mr Professor John S Pollard,88,0,0,0,88,0
Mr Tom Osborne,85,0,85,0,0,0
Mrs Jacqueline F Lake,79,0,79,0,0,0
Mr Andrew Cox,78,0,78,0,0,0
Mrs Louise Hunt,77,0,77,0,0,0
Mr Chris Morris,71,0,0,71,0,0
Mr John Gittins,69,0,69,0,0,0
Mr Andrew Harris,69,69,0,0,0,0
Mr graeme Irvine,64,0,64,0,0,0
Miss Veronica HAMILTON-DEELEY,63,0,0,0,0,63
Mrs lydia brown,60,60,0,0,0,0
Mr Andrew Walker,60,0,60,0,0,0
Mr Kevin McLoughlin,57,0,57,0,0,0
Ms Joanne Kearsley,56,56,0,0,0,0
Mr Zafar Siddique,55,0,55,0,0,0
Mrs Heidi Julia Connor,52,0,52,0,0,0
Mr Martin Dominic Fleming,52,0,52,0,0,0
Dr Fiona Jane Wilcox,52,0,52,0,0,0
Mr Andrew Adrian Haigh,50,0,0,0,0,50
Ms Caroline Saunders,46,46,0,0,0,0
Mrs Maria Eileen Voisin,46,0,46,0,0,0
Ms Penelope Schofield,46,0,46,0,0,0
Miss Emma Brown,44,0,0,44,0,0
Ms Sonia Marie Hayes,44,0,0,44,0,0
Mrs Rachael Clare Griffin,44,0,44,0,0,0
Ms Lisa Jeanette Hashmi,42,42,0,0,0,0
Miss Anna Crawford,40,0,0,0,40,0
