year,Ms Alison Patricia Mutch OBE,Ms Mary Hassell,Ms Nadia Persaud,Mr Professor John S Pollard,Mr Andrew Cox,Mr Tom Osborne,Mrs Louise Hunt,Mrs Jacqueline F Lake,Mr Chris Morris,Mr graeme Irvine,Dr Andrew Harris,Mr John Gittins,Mr Andrew Walker,Mrs lydia brown,Miss Veronica HAMILTON-DEELEY,Ms Joanne Kearsley,Mr Zafar Siddique,Mr Kevin McLoughlin,Dr Fiona Jane Wilcox,Ms Sonia Marie Hayes,Mrs Heidi Julia Connor,Mr Martin Dominic Fleming,Mrs Rachael Clare Griffin,Mr Andrew Adrian Haigh,Mr David Donald William Reid,Ms Caroline Saunders,Miss Emma Brown,Ms Penelope Schofield,Mrs Maria Eileen Voisin,Dr Richard Ian Brittain
2013,1,5,1,2,2,4,2,0,0,0,4,4,3,2,0,1,0,0,0,0,1,2,0,5,0,0,0,0,2,1
2014,0,18,3,31,5,16,6,12,0,0,14,12,12,7,9,10,4,2,10,0,3,7,0,8,0,0,0,2,5,12
2015,0,19,7,27,8,8,10,12,1,0,7,7,13,9,7,6,4,3,1,1,4,2,5,5,0,0,4,3,6,5
2016,1,13,7,18,6,7,7,4,0,0,4,4,4,8,5,4,7,1,4,0,4,7,5,1,1,0,5,2,1,5
2017,9,11,3,2,1,5,4,1,2,0,4,3,3,3,2,0,11,2,0,0,2,0,0,1,0,0,3,2,3,3
2018,16,8,4,1,3,4,5,1,5,0,2,1,0,3,3,1,8,3,5,0,5,3,4,4,0,3,7,2,3,0
2019,34,14,5,1,6,8,8,8,10,1,3,5,3,4,7,7,6,7,6,6,5,5,2,7,2,3,8,2,3,1
2020,20,10,9,0,7,6,4,5,8,6,4,1,4,0,3,0,2,7,3,3,1,1,1,8,2,3,1,3,3,0
2021,33,19,11,0,5,6,2,3,6,15,8,4,0,4,9,5,3,13,2,10,4,3,3,5,5,10,2,7,2,2
2022,25,10,9,0,5,3,3,13,10,15,4,3,4,5,0,2,2,7,3,1,3,2,5,0,2,6,3,2,2,0
2023,30,13,12,0,9,5,3,7,5,12,5,8,1,4,0,4,0,6,4,7,7,2,6,0,7,7,5,7,2,6
2024,35,12,9,0,10,4,7,7,9,14,1,6,0,2,5,9,2,2,5,9,5,2,6,0,15,5,1,6,5,0
2025,16,15,5,2,13,3,9,1,11,9,4,5,7,6,0,7,0,2,5,11,4,4,5,0,7,9,3,5,1,7
2026,4,5,2,0,1,0,2,0,4,5,1,1,5,2,0,2,5,0,2,8,1,0,4,0,7,1,2,2,0,1
