coroner_name,no. PFDs,no. recipients,no. replies,no. complete responses,no. partial responses,no. overdue responses,no. pending responses,no. failed parses
Ms Alison Patricia Mutch OBE,236,313,234,119,9,49,7,52
Ms Mary Hassell,181,265,187,109,14,42,6,5
Ms Nadia Persaud,93,96,68,42,3,27,4,14
Mr Professor John S Pollard,88,103,58,41,0,37,4,4
Mr Andrew Cox,87,116,82,42,6,25,1,11
Mr Tom Osborne,86,87,60,46,1,22,3,11
Mrs Louise Hunt,81,181,131,41,11,20,7,1
Mrs Jacqueline F Lake,79,90,76,56,1,12,0,9
Mr graeme Irvine,77,142,94,29,7,24,0,15
Mr Chris Morris,76,80,63,41,3,12,4,16
Dr Andrew Harris,72,152,86,27,6,26,7,5
Mr John Gittins,72,83,58,49,2,16,1,2
Miss Veronica HAMILTON-DEELEY,62,90,51,26,1,23,8,4
Mrs lydia brown,62,100,82,40,4,15,0,3
Mr Andrew Walker,61,81,56,33,1,15,2,8
Mr Zafar Siddique,60,87,46,26,3,24,2,5
Ms Joanne Kearsley,59,136,100,25,10,16,2,4
Mr Kevin McLoughlin,59,84,69,34,4,12,2,6
Dr Fiona Jane Wilcox,56,94,38,15,5,25,7,4
Mr Martin Dominic Fleming,52,65,36,19,2,17,9,3
Mrs Heidi Julia Connor,52,84,60,23,7,18,2,2
Ms Sonia Marie Hayes,51,85,63,34,4,12,0,1
Mr Andrew Adrian Haigh,49,48,35,27,0,15,2,5
Ms Caroline Saunders,49,55,46,36,0,10,1,1
Mrs Rachael Clare Griffin,48,122,106,27,6,9,2,4
Mr David Donald William Reid,47,59,49,28,5,8,2,3
Ms Penelope Schofield,47,63,55,27,5,8,1,6
Miss Emma Brown,47,88,58,28,2,12,1,4
Mrs Maria Eileen Voisin,45,67,48,22,1,13,4,5
Mr Alan Wilson,43,46,21,19,0,16,0,8
Dr Richard Ian Brittain,43,64,29,20,0,18,1,2
Ms Lisa Jeanette Hashmi,42,77,37,16,2,17,4,0
Mr Andrew Roger Barkley,41,64,40,19,3,17,2,0
Mr Nigel Parsley,41,44,31,16,1,5,2,17
Miss Anna Crawford,40,44,29,24,1,10,2,2
Mr Ian Potter,40,52,43,29,0,8,0,3
Mrs Caroline Beasley-Murray OBE,39,67,25,9,4,23,3,0
Mr Guy Davies,38,42,29,18,2,6,3,9
