sent_to,no. PFDs,no. recipients,no. replies,no. complete responses,no. partial responses,no. overdue responses,no. pending responses
Department of Health and Social Care,578,1608,1128,285,106,154,33
NHS England,469,1222,832,247,79,117,26
Care Quality Commission,129,382,239,45,30,48,6
Department for Transport,118,323,220,57,29,27,5
HM Prison and Probation Service,114,268,139,47,15,43,9
Ministry of Justice,101,266,128,25,12,55,9
Home Office,78,251,205,31,22,22,3
REDACTED,76,255,86,18,6,50,2
Betsi Cadwaladr University Health Board,73,102,64,54,1,17,1
Health and Safety Executive,56,171,90,17,12,21,6
National Institute for Health and Care Excellence,53,150,79,14,8,28,3
National Police Chiefs Council,47,155,126,17,17,9,4
Department for Education,45,132,78,18,10,15,2
Network Rail,40,58,40,25,3,11,1
College of Policing,36,114,112,16,13,7,0
The Care Quality Commission,36,104,45,6,4,15,11
Medicines & Healthcare Products Regulatory Agency,34,108,50,8,3,21,2
National Institution for health and care excellence,33,85,74,23,3,7,0
Greater Manchester Police,31,96,73,19,7,5,0
Blackpool Teaching Hospitals NHS Foundation Trust,30,41,20,16,0,13,1
Metropolitan Police Service,30,82,62,16,6,5,3
Metropolitan Police,28,58,41,17,3,6,2
Highways England,27,37,23,17,2,7,1
,27,55,28,9,18,0,0
Brighton and Sussex University Hospitals NHS Trust,27,38,21,14,1,7,5
Greater Manchester Mental Health NHS Foundation Trust,27,75,34,13,0,12,2
General Medical Council,27,109,61,5,9,13,0
Pennine Care NHS Trust,25,52,27,12,0,9,4
Leeds Teaching Hospitals NHS Trust,25,41,31,13,3,8,1
Pennine Care NHS Foundation Trust,25,51,30,14,3,8,0
Aneurin Bevan University Health Board,25,47,23,18,0,5,2
Royal College of Paediatrics and Child Health,24,93,60,10,8,5,1
Bedfordshire Hospitals NHS Foundation Trust,24,32,21,15,0,9,0
NHS Bury Clinical Commissioning Group,23,63,28,5,3,12,3
Care UK,22,54,30,8,11,3,0
HMPPS,22,69,39,10,1,7,4
University Hospitals Birmingham NHS Foundation Trust,22,38,31,16,4,2,0
Greater Manchester Health and Social Care Partnership,21,48,37,14,2,5,0
Barts Health NHS Trust,21,34,15,7,4,4,6
Stockport NHS Foundation Trust,21,23,17,13,1,4,3
Royal College of Psychiatrists,20,92,53,3,9,7,1
West Midlands Police,20,65,53,8,7,3,2
Wales Ambulance Service NHS Trust,20,50,36,10,2,8,0
Association of Ambulance Chief Executives,20,82,57,4,10,5,1
University Hospitals Bristol NHS Trust,19,28,20,14,0,4,1
Worcestershire Acute Hospitals NHS trust,19,29,14,9,0,6,4
Norfolk and Suffolk NHS Foundation Trust,19,34,25,12,1,5,1
Ministry of Defence,19,33,25,15,2,2,0
Cardiff and Vale University Health Board,18,46,20,6,1,9,2
Civil Aviation Authority,18,36,27,12,2,4,0
Derbyshire Healthcare NHS Foundation Trust,18,52,47,12,5,1,0
Transport for London,18,47,45,10,4,3,1
Surrey County Council,17,38,28,8,4,3,2
Cornwall Council,17,37,24,9,2,4,2
East Midlands Ambulance Service,17,46,31,10,4,3,0
Surrey and Borders Partnership NHS Foundation Trust,17,42,27,5,4,8,0
Greater Manchester Integrated Care,17,31,27,12,3,2,0
Department for Digital Culture Media and Sport,17,54,41,8,4,5,0
Nottingham University Hospital NHS Trust,17,27,19,8,0,8,1
The Home Office,17,54,38,8,4,4,1
Nursing and Midwifery Council,16,58,34,6,2,8,0
Birmingham and Solihull Mental Health Foundation Trust,16,45,28,8,2,5,1
Durham County Council,16,21,18,12,2,0,2
Welsh Ambulance Service Trust,16,35,13,5,0,9,2
North West Ambulance Service,16,56,51,8,4,3,1
Oxleas NHS Foundation Trust,15,45,32,6,3,5,1
National Highways,15,37,22,6,5,2,2
Public Health England,15,53,23,2,5,8,0
Department of Work and Pensions,15,38,18,8,2,5,0
Royal College of Physicians,15,71,48,4,7,3,1
Avon and Wiltshire Mental Health Partnership NHS Trust,15,26,13,6,1,5,3
HMP Pentonville,14,32,11,2,6,4,2
South East Coast Ambulance Service,14,36,24,9,2,3,0
Essex Partnership University NHS Foundation Trust,14,26,20,10,2,2,0
Surrey Police,14,43,17,5,1,7,1
Welsh Government,14,33,24,4,6,2,2
Royal College of Anaesthetists,13,51,35,5,4,4,0
Driver and Vehicle Licensing Agency,13,27,13,2,5,5,1
East Kent Hospital University NHS Foundation Trust,13,15,7,7,0,6,0
NHS Digital,13,47,34,6,6,1,0
Cwm Taf University Morgannwg Health Board,13,31,12,4,1,7,1
Birmingham City Council,13,42,22,1,6,5,1
The Royal College of General Practitioners,13,41,33,8,2,0,3
Sussex Partnership Foundation Trust,13,21,15,6,1,6,0
Central and North West London NHS Foundation Trust,13,27,18,7,0,4,2
Sussex Partnership NHS Trust,13,21,13,8,0,3,2
Royal London Hospital,12,16,8,7,0,5,0
Ministry of Housing Communities and Local Government,12,36,17,3,3,5,1
Queen Elizabeth Hospital,12,19,15,8,2,2,0
Milton Keynes University Hospital,12,21,17,9,1,2,0
East London NHS Trust,12,16,10,8,0,4,0
Royal College of Emergency Medicine,12,60,43,6,4,2,0
Barts Health NHS Foundation Trust,12,20,15,7,3,2,0
Swansea Bay University Health Board,12,39,24,7,2,2,1
North East London Foundation trust,12,15,14,9,0,2,1
Manchester University NHS Foundation Trust,12,23,16,7,1,2,2
NHS Improvement,12,37,19,2,7,1,2
Norfolk and Suffolk NHS Trust,12,15,15,11,0,1,0
South Central Ambulance Service,12,25,20,7,0,4,1
NHS England & NHS Improvement,11,22,21,10,0,0,1
The Royal College of Obstetricians and Gynaecologists,11,28,13,1,0,8,2
Camden & Islington NHS Trust,11,17,10,6,0,5,0
United Lincolnshire Hospital Trust,11,20,4,3,0,8,0
Lincolnshire County Council,11,21,11,6,1,3,1
ABMU Health Board,11,18,10,3,0,7,1
Department of Environment Food and Rural Affairs,11,45,30,2,3,5,1
Essex Partnership University Trust,11,21,12,2,2,7,0
Devon Partnership NHS Trust,11,25,20,9,2,0,0
Cumbria County Council,11,15,9,6,1,4,0
Berkshire Healthcare NHS Foundation Trust,11,30,17,4,2,5,0
Midlands Partnership University NHS Foundation Trust,11,27,14,5,0,6,0
South London and Maudsley NHS Foundation Trust,11,22,10,2,2,6,1
East London Foundation Trust,11,21,5,3,0,7,1
General Pharmaceutical Council,11,41,31,5,2,4,0
Royal College of General Practitioners,11,48,28,3,4,3,1
Medicines and Healthcare products Regulation Agency,11,24,18,8,1,2,0
Surrey and Sussex Healthcare NHS Trust,11,23,16,6,2,3,0
MHRA: Medicines and Healthcare Products Regulatory Agency,10,34,27,6,1,3,0
Medway NHS Foundation Trust,10,11,7,6,0,3,1
County Durham and Darlington NHS Foundation Trust,10,14,9,6,0,3,1
Royal College of Surgeons,10,32,19,3,3,3,1
NHS England ,10,10,11,9,0,1,0
G4S,10,33,17,4,1,3,2
East Lancashire Hospitals NHS Trust,10,11,3,3,0,7,0
London Ambulance Service,10,29,16,4,2,4,0
Tameside and Glossop Integrated Care NHS Foundation Trust,10,15,13,8,0,2,0
Sussex Police,10,30,18,4,3,3,0
East Midlands Ambulance Service NHS Trust,10,26,7,2,1,7,0
Royal Stoke University Hospital,10,17,12,6,0,4,0
Camden and Islington NHS Foundation Trust,10,19,13,6,1,3,0
Health Education England,10,54,31,1,4,5,0
Oxleas NHS Trust,10,17,12,6,0,3,1
Birmingham and Solihull Mental Health NHS Foundation Trust,10,34,28,6,4,0,0
East of England Ambulance Service,10,16,18,8,1,0,1
Maritime and Coastguard Agency,9,45,31,3,4,2,0
Home Office ,9,9,2,2,0,7,0
Frimley Health NHS Foundation Trust,9,18,18,6,2,1,0
Driver and Vehicle Standards Agency,9,27,11,1,7,0,1
Powys County Council,9,20,5,1,2,5,1
Greater Manchester Integrated Care Board,9,38,29,8,0,1,0
Welsh Ambulance Service NHS Trust,9,15,10,6,0,1,2
Coventry and Warwickshire NHS Trust,9,13,10,6,1,2,0
Royal College of Radiologists,9,29,24,6,3,0,0
South Wales Police,9,15,11,5,1,3,0
Stepping Hill Hospital,9,18,12,5,1,2,1
Portsmouth Hospitals NHS Trust,9,16,11,4,2,2,1
Cwm Taf Morgannwg University Health,9,31,4,3,0,5,1
Office for Product Safety and Standards,9,25,20,5,1,3,0
British Transport Police,9,36,30,4,4,1,0
Shrewsbury and Telford NHS Trust,9,11,7,5,0,4,0
North East London Foundation Trust,9,20,15,6,1,1,1
Welsh Assembly Government,9,22,8,3,0,5,1
Worcestershire Health Care and NHS Trust,9,12,8,5,0,3,1
North Bristol NHS Trust,9,12,7,5,2,2,0
Worcestershire Acute Hospital NHS Trust,9,15,15,9,0,0,0
Warwickshire County Council,8,8,3,3,0,4,1
Central North West London NHS Foundation Trust,8,16,15,7,0,1,0
Cornwall Partnership NHS Foundation Trust,8,17,10,4,2,2,0
Norfolk County Council,8,16,10,5,1,2,0
West Yorkshire Police,8,18,15,5,1,1,1
Tameside General Hospital,8,14,9,4,0,2,2
