sent_to,count
Department of Health and Social Care,576
NHS England,467
Care Quality Commission,129
Department for Transport,118
HM Prison and Probation Service,114
Ministry of Justice,100
Home Office,77
REDACTED,76
Betsi Cadwaladr University Health Board,73
Health and Safety Executive,55
National Institute for Health and Care Excellence,53
National Police Chiefs Council,47
Department for Education,45
Network Rail,40
The Care Quality Commission,36
College of Policing,36
Medicines & Healthcare Products Regulatory Agency,34
National Institution for health and care excellence,33
Greater Manchester Police,31
Blackpool Teaching Hospitals NHS Foundation Trust,30
Metropolitan Police Service,30
Metropolitan Police,28
,27
Highways England,27
Greater Manchester Mental Health NHS Foundation Trust,27
General Medical Council,27
Brighton and Sussex University Hospitals NHS Trust,27
Leeds Teaching Hospitals NHS Trust,25
Pennine Care NHS Foundation Trust,25
Pennine Care NHS Trust,25
Aneurin Bevan University Health Board,25
Bedfordshire Hospitals NHS Foundation Trust,24
Royal College of Paediatrics and Child Health,24
NHS Bury Clinical Commissioning Group,23
University Hospitals Birmingham NHS Foundation Trust,22
Care UK,22
Barts Health NHS Trust,21
Greater Manchester Health and Social Care Partnership,21
Stockport NHS Foundation Trust,21
HMPPS,21
Wales Ambulance Service NHS Trust,20
Association of Ambulance Chief Executives,20
Royal College of Psychiatrists,20
West Midlands Police,20
University Hospitals Bristol NHS Trust,19
Norfolk and Suffolk NHS Foundation Trust,19
Ministry of Defence,19
Worcestershire Acute Hospitals NHS trust,19
Transport for London,18
Civil Aviation Authority,18
Derbyshire Healthcare NHS Foundation Trust,18
Cardiff and Vale University Health Board,18
East Midlands Ambulance Service,17
Cornwall Council,17
Department for Digital Culture Media and Sport,17
Surrey County Council,17
Nottingham University Hospital NHS Trust,17
Greater Manchester Integrated Care,17
The Home Office,17
Surrey and Borders Partnership NHS Foundation Trust,17
North West Ambulance Service,16
Welsh Ambulance Service Trust,16
Birmingham and Solihull Mental Health Foundation Trust,16
Durham County Council,16
Nursing and Midwifery Council,16
Royal College of Physicians,15
Avon and Wiltshire Mental Health Partnership NHS Trust,15
National Highways,15
Department of Work and Pensions,15
Public Health England,15
HMP Pentonville,14
Welsh Government,14
Essex Partnership University NHS Foundation Trust,14
Oxleas NHS Foundation Trust,14
Surrey Police,14
South East Coast Ambulance Service,14
Royal College of Anaesthetists,13
Sussex Partnership NHS Trust,13
Central and North West London NHS Foundation Trust,13
Cwm Taf University Morgannwg Health Board,13
East Kent Hospital University NHS Foundation Trust,13
Birmingham City Council,13
Driver and Vehicle Licensing Agency,13
NHS Digital,13
Sussex Partnership Foundation Trust,13
Queen Elizabeth Hospital,12
North East London Foundation trust,12
Norfolk and Suffolk NHS Trust,12
South Central Ambulance Service,12
Royal College of Emergency Medicine,12
Milton Keynes University Hospital,12
Manchester University NHS Foundation Trust,12
East London NHS Trust,12
Barts Health NHS Foundation Trust,12
The Royal College of General Practitioners,12
Ministry of Housing Communities and Local Government,12
NHS Improvement,12
Swansea Bay University Health Board,12
Royal London Hospital,12
Essex Partnership University Trust,11
Devon Partnership NHS Trust,11
Department of Environment Food and Rural Affairs,11
NHS England & NHS Improvement,11
General Pharmaceutical Council,11
The Royal College of Obstetricians and Gynaecologists,11
Surrey and Sussex Healthcare NHS Trust,11
Royal College of General Practitioners,11
South London and Maudsley NHS Foundation Trust,11
Midlands Partnership University NHS Foundation Trust,11
ABMU Health Board,11
Cumbria County Council,11
Medicines and Healthcare products Regulation Agency,11
Lincolnshire County Council,11
United Lincolnshire Hospital Trust,11
East London Foundation Trust,11
Camden & Islington NHS Trust,11
Berkshire Healthcare NHS Foundation Trust,11
Health Education England,10
NHS England ,10
London Ambulance Service,10
East Lancashire Hospitals NHS Trust,10
Medway NHS Foundation Trust,10
Birmingham and Solihull Mental Health NHS Foundation Trust,10
County Durham and Darlington NHS Foundation Trust,10
Royal Stoke University Hospital,10
Camden and Islington NHS Foundation Trust,10
East of England Ambulance Service,10
G4S,10
MHRA: Medicines and Healthcare Products Regulatory Agency,10
East Midlands Ambulance Service NHS Trust,10
Royal College of Surgeons,10
Tameside and Glossop Integrated Care NHS Foundation Trust,10
Sussex Police,10
Oxleas NHS Trust,10
Royal College of Radiologists,9
British Transport Police,9
Shrewsbury and Telford NHS Trust,9
Greater Manchester Integrated Care Board,9
North Bristol NHS Trust,9
Worcestershire Acute Hospital NHS Trust,9
Powys County Council,9
Welsh Assembly Government,9
Stepping Hill Hospital,9
Maritime and Coastguard Agency,9
Home Office ,9
Cwm Taf Morgannwg University Health,9
Portsmouth Hospitals NHS Trust,9
Office for Product Safety and Standards,9
Frimley Health NHS Foundation Trust,9
South Wales Police,9
Worcestershire Health Care and NHS Trust,9
Coventry and Warwickshire NHS Trust,9
Welsh Ambulance Service NHS Trust,9
North East London Foundation Trust,9
NHS Pathways,8
Norfolk County Council,8
Practise Plus Group,8
National Probation Service,8
Cornwall Partnership NHS Foundation Trust,8
Tameside General Hospital,8
Central North West London NHS Foundation Trust,8
West Yorkshire Police,8
Royal College of Pathologists,8
Queen’s Hospital,8
University College London Hospitals NHS Trust,8
