name,title,role
Mr Andrew Philip Hetherington,Senior Coroner,Northumberland
HHJ Alexia Durran,The Chief Coroner of England and Wales,Honorary Member
Mr John Gittins,Senior Coroner,North Wales (East & Central)
Mr Paul Vernon Marks,Senior Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Miss Mairin Casey,Senior Coroner,Nottinghamshire
Mr Alan Wilson,Senior Coroner,Blackpool and Fylde
Peter A N de Gruchy,Senior Coroner,Corresponding Member
Mrs Tanyka Samantha Rawden,Senior Coroner,Yorkshire South West
Miss Georgina Nolan,Senior Coroner,Newcastle and North Tyneside
Miss Clare Bailey,Senior Coroner,Teesside and Hartlepool
Mr Mark Harris,Senior Coroner,Corresponding Member
Mr Paul Duncan Smith,Senior Coroner,Greater Lincolnshire
Clare Faulds,Senior Coroner,Corresponding Member
Mr John Penhale Ellery,Senior Coroner,"Shropshire, Telford and Wrekin"
Ms Patricia Harding,Senior Coroner,Kent Mid and Medway
Dirk Huyer MD,Senior Coroner,Corresponding Member
The Honourable Mr Justice Weir,Senior Coroner,Corresponding Member
Mrs Anne-Louise Toal,Senior Coroner,Corresponding Member
Ms Jayne Hughes,Senior Coroner,Corresponding Member
James Peter Kitson,Senior Coroner,Corresponding Member
Dr Brian J Farrell,Senior Coroner,Corresponding Member
Judge Neil MacLean - Chief Coroner New Zealand,Senior Coroner,Honorary Member
Mr Richard Travers,Senior Coroner,Surrey
Mr S. McGovern,Senior Coroner,Warwickshire
Mr Crispin Giles Butler,Senior Coroner,Buckinghamshire
Miss Louise Pinder,Senior Coroner,Rutland and North Leicestershire
Dr Mary Flanagan,Senior Coroner,Corresponding Member
Mr Roger Linton Hatch,Senior Coroner,Kent North West
Mrs Heidi Julia Connor,Senior Coroner,Berkshire
Dr Dirk W Huyer,Senior Coroner,Corresponding Member
Mr Kevin McLoughlin,Senior Coroner,Yorkshire West Eastern
Mr Christopher Campbell Wilkinson,Senior Coroner,"Hampshire, Portsmouth and Southampton"
Mr Nigel Meadows,Senior Coroner,Manchester City
Dr Julian Rupert Laurence Morris,Senior Coroner,London Inner South
Mr Peter Brunton,Senior Coroner,Ceredigion
Miss Georgina Gibbs,Deputy Chief Coroner,Kent
Mr joseph mccrisken,Senior Coroner,Corresponding Member
Wayne Solomon,Senior Coroner,Corresponding Member
Raymond NAQVI,Senior Coroner,Corresponding Member
Ciaran MacLoughlin,Senior Coroner,Corresponding Member
Justice Lateefa Abisola OKUNNU,Senior Coroner,Corresponding Member
R .David Crawford Clarke,Senior Coroner,Retired Member
Mr Andrew Roger Barkley,Senior Coroner,Staffordshire and Stoke-on-Trent
Dr Richard Joyce,Senior Coroner,Corresponding Member
Mrs Samantha Marsh,Senior Coroner,Somerset
Mr Philip Comyn,Senior Coroner,Corresponding Member
Ms Megan Pullum,Senior Coroner,Corresponding Member
Greffier Sarah Kelly,Senior Coroner,Corresponding Member
Mr Aled Wyn Gruffydd,Senior Coroner,Swansea and Neath Port Talbot
Cherry McMillen,Senior Coroner,Corresponding Member
Graeme Douglas Johnstone,Senior Coroner,Honorary Member
Mr John Gittins,Senior Coroner,North Wales (East & Central)
Mr Terence Carney,Senior Coroner,Gateshead and South Tyneside
Mr Alan Moore,Senior Coroner,Retired Member
Soerdjbalie-Maikoe,Senior Coroner,Corresponding Member
Mr Malcolm Simmons,Senior Coroner,Corresponding Member
Ms Alison Patricia Mutch OBE,Senior Coroner,Greater Manchester South
Mr Philip Spinney,Senior Coroner,"County of Devon, Plymouth & Torbay"
Mr David Heming,Senior Coroner,Cambridgeshire and Peterborough
Dr Prof. Denis A. Cusack,Senior Coroner,Corresponding Member
Mr Paul Duncan Smith,Senior Coroner,Greater Lincolnshire
Mrs Anne Pember,Senior Coroner,Northamptonshire
The Hon. Mr. Justice Colton,Senior Coroner,Corresponding Member
Brian G Sherrard,Senior Coroner,Corresponding Member
Ms Kate Robertson,Senior Coroner,North West Wales
Joanne Donnelly,Senior Coroner,Corresponding Member
Mr Zafar Siddique,Senior Coroner,The Black Country Jurisdiction
Justice John Angus MacRitchie,Senior Coroner,Corresponding Member
Mr Andrew Cox,Senior Coroner,Cornwall and the Isles of Scilly
Ms Alison Brydie Hewitt,Senior Coroner,London City
Mr Andrew Walker,Senior Coroner,London North
Mr David Donald William Reid,Senior Coroner,Worcestershire
Mr graeme Irvine,Senior Coroner,London East
Dr Michael Kennedy,Senior Coroner,Corresponding Member
Ms Nicola Jane Mundy,Senior Coroner,Yorkshire South East
Mr Jeremy Chipperfield,Senior Coroner,County Durham and Darlington
Mr Roger Linton Hatch,Senior Coroner,Kent North West
Mr André Rebello OBE,Senior Coroner,Liverpool and the Wirral
Mr David Place,Senior Coroner,Sunderland
Mr Tom Osborne,Senior Coroner,Milton Keynes
Mr Fergal T. Kelly,Senior Coroner,Corresponding Member
Isaac Tan,Senior Coroner,Corresponding Member
Mr Jonathan Richard Heath,Senior Coroner,North Yorkshire and York
Ms Joanne Kearsley,Deputy Chief Coroner,Greater Manchester North
Mr Peter Nieto,Senior Coroner,Derby and Derbyshire
Peter Ryan,Senior Coroner,Corresponding Member
Ms Penelope Schofield,Senior Coroner,"West Sussex, Brighton and Hove"
Wayne Solomon,Senior Coroner,Corresponding Member
Mrs. Linda P. Virgill (PHD),Senior Coroner,Corresponding Member
Dr Elizabeth A Earland,Senior Coroner,Retired Member
Mr Gareth Lewis,Senior Coroner,Carmarthenshire and Pembrokeshire
Mr Lincoln Brookes,Senior Coroner,Essex
Dr Eleanor Fitzgerald Loftus,Senior Coroner,Corresponding Member
Mr HG Mark Bricknell,Senior Coroner,Herefordshire
Helen Margaret Scott,Senior Coroner,Corresponding Member
Ms Katy Skerrett,Senior Coroner,Gloucestershire
Dr James Adeley,Senior Coroner,Lancashire and Blackburn with Darwen
Mr Tony Williams,Senior Coroner,Retired Member
Cherry McMillen,Senior Coroner,Corresponding Member
"Matthew J Bowes, MD, FRCPC",Senior Coroner,Corresponding Member
Garry Leslie Evans,Senior Coroner,Corresponding Member
Miss Maria Dougan,Senior Coroner,Corresponding Member
Cdr. Richard Marshall RN,Senior Coroner,Corresponding Member
Mr Nigel Parsley,Senior Coroner,Suffolk
Deborah Malcolm,Senior Coroner,Corresponding Member
Mr David William Graham RIDLEY,Senior Coroner,Wiltshire and Swindon
Mr David Heming,Senior Coroner,Cambridgeshire and Peterborough
Mrs Jacqueline F Lake,Senior Coroner,Norfolk
Mr Patrick McGurgan,Senior Coroner,Corresponding Member
Mrs Catherine Mason,Senior Coroner,Leicester City and South Leicestershire
Dr Andrina O'Brien,Senior Coroner,Corresponding Member
Dr Dirk W Huyer,Senior Coroner,Corresponding Member
Mr John Anthony Needham,Senior Coroner,Corresponding Member
Joanne Donnelly,Senior Coroner,Corresponding Member
Mr Darren Michael Salter,Senior Coroner,Oxfordshire
Mr Martin Dominic Fleming,Senior Coroner,Yorkshire West Western
Mr Andrew Cox,Senior Coroner,Cornwall and the Isles of Scilly
Mrs Maria Eileen Voisin,Senior Coroner,Avon
Mrs Emma Elizabeth Whitting,Senior Coroner,Bedfordshire and Luton
Mr Timothy William Brennand,Senior Coroner,Greater Manchester West
Ciaran MacLoughlin,Senior Coroner,Corresponding Member
Ms Mary Hassell,Senior Coroner,London Inner North
Mrs lydia brown,Senior Coroner,London West
Dr Michael Kennedy,Senior Coroner,Corresponding Member
Ms Jacqueline P Devonish,Senior Coroner,Cheshire
Dr Myra Cullinane,Senior Coroner,Corresponding Member
Ms Julie Alison Goulding,Senior Coroner,"Sefton, Knowsley and St Helens"
Mr Cathal Louth,Senior Coroner,Corresponding Member
Ms Caroline Saunders,Senior Coroner,Gwent
Mrs Rachael Clare Griffin,Senior Coroner,Dorset
Mr Graeme David Hughes,Senior Coroner,South Wales Central
Ms Fiona King,Acting Coroner,East Sussex
Miss Kirsty Gomersal,Acting Coroner,Cumbria
Mr Peter Anthony (Tony) Murphy,Area Coroner,London North
Mrs Rose farmer,Area Coroner,Gwent
Mrs SARAH LOUISE SLATER,Area Coroner,Yorkshire South East
Mrs Joanne Andrews,Area Coroner,"West Sussex, Brighton and Hove"
Ms Catherine Cundy,Area Coroner,North Yorkshire and York
Mr Simon Wickens,Area Coroner,Surrey
Miss Catherine Bisset,Area Coroner,Lancashire and Blackburn with Darwen
Mr Daniel Howe,Area Coroner,Staffordshire
Mr Kimberley Ian Singleton,Area Coroner,Wiltshire and Swindon
Mrs Joanne Lees,Area Coroner,The Black Country Jurisdiction
Dr Peter Harrowing,Area Coroner,Avon
Ms Hannah Godfrey,Area Coroner,Berkshire
Mrs Anita Bhardwaj,Area Coroner,Liverpool and the Wirral
Mrs Rosamund Rhodes-Kemp,Area Coroner,"Hampshire, Portsmouth and Southampton"
Miss Bina Patel,Area Coroner,Kent Mid and Medway
Mr Jason Pegg,Area Coroner,"Hampshire, Portsmouth and Southampton"
Mr Jacques Howell,Area Coroner,Hertfordshire
Mrs Victoria Davies,Area Coroner,Cheshire
Miss Emma Brown,Area Coroner,Birmingham and Solihull
Ms Catherine Wood,Area Coroner,Kent
Mr Nicholas Lane,Area Coroner,"County of Devon, Plymouth & Torbay"
Ms Catherine McKenna,Area Coroner,Greater Manchester North
Mr Nicholas Walker,Area Coroner,"Hampshire, Portsmouth and Southampton"
Mr Paul Michael Appleton,Area Coroner,Manchester City
Ms Nadia Persaud,Area Coroner,London East
Mr Zak Golombeck,Area Coroner,Manchester City
Miss Susan Evans,Area Coroner,Derby and Derbyshire
